comm_bytes_csi,comm_bytes_pk,comm_bytes_sig,comm_bytes_total,comm_bytes_zkp,e2e_latency_ms_mean,e2e_latency_ms_median,latency_ms_mean,latency_ms_median,latency_ms_stdev,protocol,security_note
,,,256,,,,0.5742800000158846,0.5551500000819942,,baseline_yang,"ECC, no PQC/ZKP/PLS"
,,,512,,,,2.9496766667458965,3.0143500002850487,,improved_ecdh_aes,"ECDH+AES, no PQC, pseudonym"
128,1312,2420,4014,80,68.56376000003668,55.55985000000874,10.968116666617789,10.939000000007582,2.660423478096788,innovation_zkp_pqc_pls,
